İlanda İstenilen Bölüm Bilgisi,2019-1,2019-10,2019-11,2019-12,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2020-1,2020-10,2020-11,2020-12,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9
Malzeme Bilimi ve Nanoteknoloji Mühendisliği,1,1,3,1,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Malzeme Mühendisliği,3,4,4,2,1,0,5,0,3,2,1,0,2,4,2,4,1,2,0,1,2,0,2,3
Matbaa Öğretmenliği,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matbaacılık (MYO),0,0,1,0,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,3,0,1
Matematik,9,10,13,12,9,11,10,10,4,12,10,10,17,45,53,55,14,8,5,6,33,34,36,39
Matematik Mühendisliği,22,40,29,44,18,28,27,34,23,25,31,34,47,149,153,156,37,42,26,36,106,109,112,145
Matematik Öğretmenliği,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Matematik-Bilgisayar,9,9,8,10,7,15,3,11,10,12,7,11,14,30,32,27,7,6,6,7,14,15,18,22
Medya ve İletişim ,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Mekatronik (MYO),1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1
Mekatronik Mühendisliği,15,9,16,21,21,18,13,16,18,19,11,15,20,28,35,52,23,18,1,6,29,16,24,20
